CNOT,T,abc_and,abc_binary,abc_esop_cubes,abc_esop_literals,abc_esop_qcost,abc_esop_reported_cubes,abc_level,abc_script,abc_xag_and,abc_xag_level,abc_xag_mux,abc_xag_obj,abc_xag_xor,anf_terms,bdd_nodes,bdd_order,bdd_orders_evaluated,bdd_root,correct,depth,error,explicit_ancilla,gates,index,method,n,n_qubits,name,onset_size,peak_ancilla,preset_name,score,skipped,source_manifest,time_s,truth_table_hex
16,8,,,,,,,,,,,,,,3,,,,,True,20,,0,10,0,external_sshr_h,3,4,parity_n3,4,0,parity_n3,9.040000000000001,,benchmark_exports/traditional_resource_external_seed42,0.00015115737915039062,96
11,4,,,,,,,,,,,,,,3,,,,,True,11,,0,6,1,external_sshr_h,3,4,majority_n3,4,0,majority_n3,4.665,,benchmark_exports/traditional_resource_external_seed42,0.00015401840209960938,E8
3,0,,,,,,,,,,,,,,3,,,,,True,6,,0,6,0,external_sshr_i_cnot,3,4,parity_n3,4,0,parity_n3,0.27,,benchmark_exports/traditional_resource_external_seed42,0.07024693489074707,96
11,4,,,,,,,,,,,,,,3,,,,,True,11,,0,6,2,external_sshr_h,3,4,threshold2_n3,4,0,threshold2_n3,4.665,,benchmark_exports/traditional_resource_external_seed42,2.8133392333984375e-05,E8
3,0,,,,,,,,,,,,,,3,,,,,True,6,,0,6,0,external_sshr_i_t,3,4,parity_n3,4,0,parity_n3,0.27,,benchmark_exports/traditional_resource_external_seed42,0.07078886032104492,96
11,4,,,,,,,,,,,,,,3,,,,,True,11,,0,6,1,external_sshr_i_t,3,4,majority_n3,4,0,majority_n3,4.665,,benchmark_exports/traditional_resource_external_seed42,0.08057808876037598,E8
20,8,,,,,,,,,,,,,,4,,,,,True,24,,0,14,3,external_sshr_h,4,5,parity_n4,8,0,parity_n4,9.3,,benchmark_exports/traditional_resource_external_seed42,0.001199960708618164,6996
11,4,,,,,,,,,,,,,,3,,,,,True,16,,0,11,1,external_sshr_i_cnot,3,4,majority_n3,4,0,majority_n3,4.790000000000001,,benchmark_exports/traditional_resource_external_seed42,0.086334228515625,E8
11,4,,,,,,,,,,,,,,3,,,,,True,16,,0,11,2,external_sshr_i_cnot,3,4,threshold2_n3,4,0,threshold2_n3,4.790000000000001,,benchmark_exports/traditional_resource_external_seed42,0.01774311065673828,E8
34,44,,,,,,,,,,,,,,5,,,,,True,36,,0,9,4,external_sshr_h,4,5,majority_n4,5,1,majority_n4,47.99,,benchmark_exports/traditional_resource_external_seed42,0.0012187957763671875,E880
11,4,,,,,,,,,,,,,,3,,,,,True,11,,0,6,2,external_sshr_i_t,3,4,threshold2_n3,4,0,threshold2_n3,4.665,,benchmark_exports/traditional_resource_external_seed42,0.020635128021240234,E8
